RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,127,0.275,#46236,#46110
0100→0200,100,200,197,0.701,#46109,#45913
0200→0300,200,300,384,1.531,#45912,#45529
0300→0400,300,400,752,3.158,#45528,#44777
0400→0500,400,500,1425,6.240,#44776,#43352
0500→0600,500,600,2316,11.249,#43351,#41036
0600→0700,600,700,3123,18.003,#41035,#37913
0700→0800,700,800,3907,26.453,#37912,#34006
0800→0900,800,900,4732,36.688,#34005,#29274
0900→1000,900,1000,5743,49.109,#29273,#23531
1000→1100,1000,1100,6262,62.652,#23530,#17269
1100→1200,1100,1200,4803,73.040,#17268,#12466
1200→1300,1200,1300,3568,80.757,#12465,#8898
1300→1400,1300,1400,2567,86.309,#8897,#6331
1400→1500,1400,1500,1905,90.430,#6330,#4426
1500→1600,1500,1600,1418,93.496,#4425,#3008
1600→1700,1600,1700,976,95.607,#3007,#2032
1700→1800,1700,1800,700,97.121,#2031,#1332
1800→1900,1800,1900,460,98.116,#1331,#872
1900→2000,1900,2000,301,98.767,#871,#571
2000→2100,2000,2100,205,99.211,#570,#366
2100→2200,2100,2200,118,99.466,#365,#248
2200→2300,2200,2300,94,99.669,#247,#154
2300→2400,2300,2400,52,99.782,#153,#102
2400→2500,2400,2500,46,99.881,#101,#56
2500→2600,2500,2600,22,99.929,#55,#34
2600→2700,2600,2700,20,99.972,#33,#14
2700→2800,2700,2800,10,99.994,#13,#4
2800→2900,2800,2900,1,99.996,#3,#3
2900→3000,2900,3000,2,100.000,#2,#1
