RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,121,0.371,#32620,#32500
0100→0200,100,200,199,0.981,#32499,#32301
0200→0300,200,300,433,2.308,#32300,#31868
0300→0400,300,400,847,4.905,#31867,#31021
0400→0500,400,500,1480,9.442,#31020,#29541
0500→0600,500,600,2436,16.910,#29540,#27105
0600→0700,600,700,3324,27.100,#27104,#23781
0700→0800,700,800,2259,34.025,#23780,#21522
0800→0900,800,900,2400,41.383,#21521,#19122
0900→1000,900,1000,2400,48.740,#19121,#16722
1000→1100,1000,1100,3014,57.980,#16721,#13708
1100→1200,1100,1200,3837,69.742,#13707,#9871
1200→1300,1200,1300,2749,78.170,#9870,#7122
1300→1400,1300,1400,2614,86.183,#7121,#4508
1400→1500,1400,1500,1958,92.186,#4507,#2550
1500→1600,1500,1600,110,92.523,#2549,#2440
1600→1700,1600,1700,269,93.348,#2439,#2171
1700→1800,1700,1800,721,95.558,#2170,#1450
1800→1900,1800,1900,511,97.124,#1449,#939
1900→2000,1900,2000,330,98.136,#938,#609
2000→2100,2000,2100,248,98.896,#608,#361
2100→2200,2100,2200,110,99.234,#360,#251
2200→2300,2200,2300,76,99.467,#250,#175
2300→2400,2300,2400,51,99.623,#174,#124
2400→2500,2400,2500,48,99.770,#123,#76
2500→2600,2500,2600,34,99.874,#75,#42
2600→2700,2600,2700,20,99.936,#41,#22
2700→2800,2700,2800,16,99.985,#21,#6
2800→2900,2800,2900,3,99.994,#5,#3
2900→3000,2900,3000,2,100.000,#2,#1
