RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,129,0.270,#47751,#47623
0100→0200,100,200,178,0.643,#47622,#47445
0200→0300,200,300,440,1.564,#47444,#47005
0300→0400,300,400,846,3.336,#47004,#46159
0400→0500,400,500,1421,6.312,#46158,#44738
0500→0600,500,600,2507,11.562,#44737,#42231
0600→0700,600,700,3300,18.473,#42230,#38931
0700→0800,700,800,4138,27.139,#38930,#34793
0800→0900,800,900,4883,37.365,#34792,#29910
0900→1000,900,1000,5849,49.614,#29909,#24061
1000→1100,1000,1100,6623,63.483,#24060,#17438
1100→1200,1100,1200,4879,73.701,#17437,#12559
1200→1300,1200,1300,3626,81.295,#12558,#8933
1300→1400,1300,1400,2552,86.639,#8932,#6381
1400→1500,1400,1500,1895,90.608,#6380,#4486
1500→1600,1500,1600,1372,93.481,#4485,#3114
1600→1700,1600,1700,989,95.552,#3113,#2125
1700→1800,1700,1800,704,97.026,#2124,#1421
1800→1900,1800,1900,481,98.034,#1420,#940
1900→2000,1900,2000,312,98.687,#939,#628
2000→2100,2000,2100,227,99.162,#627,#401
2100→2200,2100,2200,126,99.426,#400,#275
2200→2300,2200,2300,96,99.627,#274,#179
2300→2400,2300,2400,64,99.761,#178,#115
2400→2500,2400,2500,44,99.853,#114,#71
2500→2600,2500,2600,31,99.918,#70,#40
2600→2700,2600,2700,19,99.958,#39,#21
2700→2800,2700,2800,13,99.985,#20,#8
2800→2900,2800,2900,4,99.994,#7,#4
2900→3000,2900,3000,3,100.000,#3,#1
