RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,148,0.326,#45387,#45240
0100→0200,100,200,231,0.835,#45239,#45009
0200→0300,200,300,462,1.853,#45008,#44547
0300→0400,300,400,837,3.697,#44546,#43710
0400→0500,400,500,1466,6.927,#43709,#42244
0500→0600,500,600,2357,12.120,#42243,#39887
0600→0700,600,700,3108,18.968,#39886,#36779
0700→0800,700,800,3819,27.382,#36778,#32960
0800→0900,800,900,4656,37.641,#32959,#28304
0900→1000,900,1000,5541,49.849,#28303,#22763
1000→1100,1000,1100,6054,63.188,#22762,#16709
1100→1200,1100,1200,4745,73.642,#16708,#11964
1200→1300,1200,1300,3149,80.580,#11963,#8815
1300→1400,1300,1400,2542,86.181,#8814,#6273
1400→1500,1400,1500,1827,90.206,#6272,#4446
1500→1600,1500,1600,1411,93.315,#4445,#3035
1600→1700,1600,1700,834,95.153,#3034,#2201
1700→1800,1700,1800,633,96.547,#2200,#1568
1800→1900,1800,1900,478,97.601,#1567,#1090
1900→2000,1900,2000,350,98.372,#1089,#740
2000→2100,2000,2100,253,98.929,#739,#487
2100→2200,2100,2200,162,99.286,#486,#325
2200→2300,2200,2300,98,99.502,#324,#227
2300→2400,2300,2400,83,99.685,#226,#144
2400→2500,2400,2500,53,99.802,#143,#91
2500→2600,2500,2600,35,99.879,#90,#56
2600→2700,2600,2700,22,99.927,#55,#34
2700→2800,2700,2800,19,99.969,#33,#15
2800→2900,2800,2900,9,99.989,#14,#6
2900→3000,2900,3000,5,100.000,#5,#1
