RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,127,0.265,#47992,#47866
0100→0200,100,200,187,0.654,#47865,#47679
0200→0300,200,300,445,1.582,#47678,#47234
0300→0400,300,400,816,3.282,#47233,#46418
0400→0500,400,500,1456,6.316,#46417,#44962
0500→0600,500,600,2498,11.521,#44961,#42464
0600→0700,600,700,3297,18.391,#42463,#39167
0700→0800,700,800,4180,27.100,#39166,#34987
0800→0900,800,900,4943,37.400,#34986,#30044
0900→1000,900,1000,6021,49.946,#30043,#24023
1000→1100,1000,1100,6245,62.958,#24022,#17778
1100→1200,1100,1200,5046,73.473,#17777,#12732
1200→1300,1200,1300,3624,81.024,#12731,#9108
1300→1400,1300,1400,2601,86.444,#9107,#6507
1400→1500,1400,1500,1949,90.505,#6506,#4558
1500→1600,1500,1600,1422,93.468,#4557,#3136
1600→1700,1600,1700,987,95.524,#3135,#2149
1700→1800,1700,1800,703,96.989,#2148,#1446
1800→1900,1800,1900,504,98.039,#1445,#942
1900→2000,1900,2000,310,98.685,#941,#632
2000→2100,2000,2100,230,99.164,#631,#402
2100→2200,2100,2200,123,99.421,#401,#279
2200→2300,2200,2300,104,99.637,#278,#175
2300→2400,2300,2400,61,99.765,#174,#114
2400→2500,2400,2500,45,99.858,#113,#69
2500→2600,2500,2600,31,99.923,#68,#38
2600→2700,2600,2700,17,99.958,#37,#21
2700→2800,2700,2800,12,99.983,#20,#9
2800→2900,2800,2900,6,99.996,#8,#3
2900→3000,2900,3000,2,100.000,#2,#1
