RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,124,0.290,#42796,#42673
0100→0200,100,200,187,0.727,#42672,#42486
0200→0300,200,300,405,1.673,#42485,#42081
0300→0400,300,400,853,3.666,#42080,#41228
0400→0500,400,500,1467,7.094,#41227,#39761
0500→0600,500,600,2474,12.875,#39760,#37287
0600→0700,600,700,3259,20.490,#37286,#34028
0700→0800,700,800,4091,30.050,#34027,#29937
0800→0900,800,900,4921,41.548,#29936,#25016
0900→1000,900,1000,5015,53.267,#25015,#20001
1000→1100,1000,1100,2611,59.368,#20000,#17390
1100→1200,1100,1200,4931,70.890,#17389,#12459
1200→1300,1200,1300,3568,79.227,#12458,#8891
1300→1400,1300,1400,2603,85.309,#8890,#6288
1400→1500,1400,1500,1893,89.733,#6287,#4395
1500→1600,1500,1600,1324,92.826,#4394,#3071
1600→1700,1600,1700,974,95.102,#3070,#2097
1700→1800,1700,1800,702,96.743,#2096,#1395
1800→1900,1800,1900,481,97.867,#1394,#914
1900→2000,1900,2000,322,98.619,#913,#592
2000→2100,2000,2100,200,99.086,#591,#392
2100→2200,2100,2200,133,99.397,#391,#259
2200→2300,2200,2300,95,99.619,#258,#164
2300→2400,2300,2400,50,99.736,#163,#114
2400→2500,2400,2500,48,99.848,#113,#66
2500→2600,2500,2600,27,99.911,#65,#39
2600→2700,2600,2700,21,99.960,#38,#18
2700→2800,2700,2800,14,99.993,#17,#4
2800→2900,2800,2900,1,99.995,#3,#3
2900→3000,2900,3000,2,100.000,#2,#1
