RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,142,0.314,#45292,#45151
0100→0200,100,200,228,0.817,#45150,#44923
0200→0300,200,300,475,1.866,#44922,#44448
0300→0400,300,400,843,3.727,#44447,#43605
0400→0500,400,500,1456,6.942,#43604,#42149
0500→0600,500,600,2305,12.031,#42148,#39844
0600→0700,600,700,3155,18.997,#39843,#36689
0700→0800,700,800,3799,27.385,#36688,#32890
0800→0900,800,900,4618,37.581,#32889,#28272
0900→1000,900,1000,5550,49.834,#28271,#22722
1000→1100,1000,1100,6047,63.186,#22721,#16675
1100→1200,1100,1200,4595,73.331,#16674,#12080
1200→1300,1200,1300,3117,80.213,#12079,#8963
1300→1400,1300,1400,2530,85.799,#8962,#6433
1400→1500,1400,1500,1853,89.890,#6432,#4580
1500→1600,1500,1600,1378,92.933,#4579,#3202
1600→1700,1600,1700,972,95.079,#3201,#2230
1700→1800,1700,1800,674,96.567,#2229,#1556
1800→1900,1800,1900,490,97.649,#1555,#1066
1900→2000,1900,2000,354,98.430,#1065,#712
2000→2100,2000,2100,234,98.947,#711,#478
2100→2200,2100,2200,160,99.300,#477,#318
2200→2300,2200,2300,101,99.523,#317,#217
2300→2400,2300,2400,84,99.709,#216,#133
2400→2500,2400,2500,52,99.823,#132,#81
2500→2600,2500,2600,30,99.890,#80,#51
2600→2700,2600,2700,22,99.938,#50,#29
2700→2800,2700,2800,17,99.976,#28,#12
2800→2900,2800,2900,5,99.987,#11,#7
2900→3000,2900,3000,6,100.000,#6,#1
