RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,134,0.284,#47248,#47115
0100→0200,100,200,202,0.711,#47114,#46913
0200→0300,200,300,405,1.568,#46912,#46508
0300→0400,300,400,821,3.306,#46507,#45687
0400→0500,400,500,1430,6.333,#45686,#44257
0500→0600,500,600,2324,11.251,#44256,#41933
0600→0700,600,700,3152,17.922,#41932,#38781
0700→0800,700,800,3934,26.249,#38780,#34847
0800→0900,800,900,4737,36.275,#34846,#30110
0900→1000,900,1000,5936,48.838,#30109,#24174
1000→1100,1000,1100,6493,62.580,#24173,#17681
1100→1200,1100,1200,4891,72.932,#17680,#12790
1200→1300,1200,1300,3594,80.539,#12789,#9196
1300→1400,1300,1400,2627,86.099,#9195,#6569
1400→1500,1400,1500,1937,90.199,#6568,#4632
1500→1600,1500,1600,1415,93.193,#4631,#3217
1600→1700,1600,1700,959,95.223,#3216,#2258
1700→1800,1700,1800,756,96.823,#2257,#1502
1800→1900,1800,1900,500,97.881,#1501,#1002
1900→2000,1900,2000,328,98.576,#1001,#674
2000→2100,2000,2100,231,99.065,#673,#443
2100→2200,2100,2200,149,99.380,#442,#294
2200→2300,2200,2300,111,99.615,#293,#183
2300→2400,2300,2400,54,99.729,#182,#129
2400→2500,2400,2500,50,99.835,#128,#79
2500→2600,2500,2600,37,99.913,#78,#42
2600→2700,2600,2700,16,99.947,#41,#26
2700→2800,2700,2800,17,99.983,#25,#9
2800→2900,2800,2900,8,100.000,#8,#1
