RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,126,0.420,#30000,#29875
0100→0200,100,200,196,1.073,#29874,#29679
0200→0300,200,300,439,2.537,#29678,#29240
0300→0400,300,400,852,5.377,#29239,#28388
0400→0500,400,500,1493,10.353,#28387,#26895
0500→0600,500,600,2437,18.477,#26894,#24458
0600→0700,600,700,3368,29.703,#24457,#21090
0700→0800,700,800,759,32.233,#21089,#20331
0800→0900,800,900,1000,35.567,#20330,#19331
0900→1000,900,1000,1500,40.567,#19330,#17831
1000→1100,1000,1100,2822,49.973,#17830,#15009
1100→1200,1100,1200,4060,63.507,#15008,#10949
1200→1300,1200,1300,3106,73.860,#10948,#7843
1300→1400,1300,1400,2470,82.093,#7842,#5373
1400→1500,1400,1500,1442,86.900,#5372,#3931
1500→1600,1500,1600,1275,91.150,#3930,#2656
1600→1700,1600,1700,958,94.343,#2655,#1698
1700→1800,1700,1800,557,96.200,#1697,#1141
1800→1900,1800,1900,371,97.437,#1140,#770
1900→2000,1900,2000,266,98.323,#769,#504
2000→2100,2000,2100,154,98.837,#503,#350
2100→2200,2100,2200,100,99.170,#349,#250
2200→2300,2200,2300,75,99.420,#249,#175
2300→2400,2300,2400,50,99.587,#174,#125
2400→2500,2400,2500,51,99.757,#124,#74
2500→2600,2500,2600,32,99.863,#73,#42
2600→2700,2600,2700,22,99.937,#41,#20
2700→2800,2700,2800,11,99.973,#19,#9
2800→2900,2800,2900,5,99.990,#8,#4
2900→3000,2900,3000,3,100.000,#3,#1
