RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,131,0.281,#46665,#46535
0100→0200,100,200,179,0.664,#46534,#46356
0200→0300,200,300,404,1.530,#46355,#45952
0300→0400,300,400,746,3.129,#45951,#45206
0400→0500,400,500,1445,6.225,#45205,#43761
0500→0600,500,600,2322,11.201,#43760,#41439
0600→0700,600,700,3189,18.035,#41438,#38250
0700→0800,700,800,3893,26.377,#38249,#34357
0800→0900,800,900,4804,36.672,#34356,#29553
0900→1000,900,1000,5831,49.167,#29552,#23722
1000→1100,1000,1100,6294,62.655,#23721,#17428
1100→1200,1100,1200,4898,73.151,#17427,#12530
1200→1300,1200,1300,3575,80.812,#12529,#8955
1300→1400,1300,1400,2573,86.326,#8954,#6382
1400→1500,1400,1500,1927,90.455,#6381,#4455
1500→1600,1500,1600,1433,93.526,#4454,#3022
1600→1700,1600,1700,972,95.609,#3021,#2050
1700→1800,1700,1800,710,97.131,#2049,#1340
1800→1900,1800,1900,461,98.119,#1339,#879
1900→2000,1900,2000,305,98.772,#878,#574
2000→2100,2000,2100,203,99.207,#573,#371
2100→2200,2100,2200,123,99.471,#370,#248
2200→2300,2200,2300,93,99.670,#247,#155
2300→2400,2300,2400,52,99.781,#154,#103
2400→2500,2400,2500,44,99.876,#102,#59
2500→2600,2500,2600,22,99.923,#58,#37
2600→2700,2600,2700,25,99.976,#36,#12
2700→2800,2700,2800,8,99.994,#11,#4
2800→2900,2800,2900,1,99.996,#3,#3
2900→3000,2900,3000,2,100.000,#2,#1
