RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,144,0.324,#44401,#44258
0100→0200,100,200,232,0.847,#44257,#44026
0200→0300,200,300,425,1.804,#44025,#43601
0300→0400,300,400,478,2.881,#43600,#43123
0400→0500,400,500,1469,6.189,#43122,#41654
0500→0600,500,600,2340,11.459,#41653,#39314
0600→0700,600,700,3085,18.407,#39313,#36229
0700→0800,700,800,3820,27.011,#36228,#32409
0800→0900,800,900,4659,37.504,#32408,#27750
0900→1000,900,1000,5519,49.934,#27749,#22231
1000→1100,1000,1100,6087,63.643,#22230,#16144
1100→1200,1100,1200,4561,73.915,#16143,#11583
1200→1300,1200,1300,3557,81.926,#11582,#8026
1300→1400,1300,1400,2552,87.674,#8025,#5474
1400→1500,1400,1500,1831,91.797,#5473,#3643
1500→1600,1500,1600,1403,94.957,#3642,#2240
1600→1700,1600,1700,439,95.946,#2239,#1801
1700→1800,1700,1800,241,96.489,#1800,#1560
1800→1900,1800,1900,478,97.565,#1559,#1082
1900→2000,1900,2000,355,98.365,#1081,#727
2000→2100,2000,2100,238,98.901,#726,#489
2100→2200,2100,2200,165,99.273,#488,#324
2200→2300,2200,2300,103,99.505,#323,#221
2300→2400,2300,2400,77,99.678,#220,#144
2400→2500,2400,2500,52,99.795,#143,#92
2500→2600,2500,2600,36,99.876,#91,#56
2600→2700,2600,2700,25,99.932,#55,#31
2700→2800,2700,2800,17,99.971,#30,#14
2800→2900,2800,2900,9,99.991,#13,#5
2900→3000,2900,3000,4,100.000,#4,#1
