RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,11,0.235,#4673,#4663
0100→0200,100,200,18,0.621,#4662,#4645
0200→0300,200,300,34,1.348,#4644,#4611
0300→0400,300,400,64,2.718,#4610,#4547
0400→0500,400,500,127,5.435,#4546,#4420
0500→0600,500,600,200,9.715,#4419,#4220
0600→0700,600,700,267,15.429,#4219,#3953
0700→0800,700,800,375,23.454,#3952,#3578
0800→0900,800,900,461,33.319,#3577,#3117
0900→1000,900,1000,581,45.752,#3116,#2536
1000→1100,1000,1100,637,59.384,#2535,#1899
1100→1200,1100,1200,498,70.041,#1898,#1401
1200→1300,1200,1300,365,77.851,#1400,#1036
1300→1400,1300,1400,292,84.100,#1035,#744
1400→1500,1400,1500,210,88.594,#743,#534
1500→1600,1500,1600,152,91.847,#533,#382
1600→1700,1600,1700,111,94.222,#381,#271
1700→1800,1700,1800,90,96.148,#270,#181
1800→1900,1800,1900,53,97.282,#180,#128
1900→2000,1900,2000,36,98.053,#127,#92
2000→2100,2000,2100,29,98.673,#91,#63
2100→2200,2100,2200,21,99.123,#62,#42
2200→2300,2200,2300,12,99.379,#41,#30
2300→2400,2300,2400,12,99.636,#29,#18
2400→2500,2400,2500,9,99.829,#17,#9
2500→2600,2500,2600,5,99.936,#8,#4
2600→2700,2600,2700,2,99.979,#3,#2
2700→2800,2700,2800,1,100.000,#1,#1
