RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,150,0.341,#44009,#43860
0100→0200,100,200,204,0.804,#43859,#43656
0200→0300,200,300,431,1.784,#43655,#43225
0300→0400,300,400,828,3.665,#43224,#42397
0400→0500,400,500,1394,6.833,#42396,#41003
0500→0600,500,600,2307,12.075,#41002,#38696
0600→0700,600,700,3115,19.153,#38695,#35581
0700→0800,700,800,3758,27.692,#35580,#31823
0800→0900,800,900,4570,38.076,#31822,#27253
0900→1000,900,1000,5698,51.024,#27252,#21555
1000→1100,1000,1100,6160,65.021,#21554,#15395
1100→1200,1100,1200,4707,75.716,#15394,#10688
1200→1300,1200,1300,2891,82.285,#10687,#7797
1300→1400,1300,1400,1477,85.642,#7796,#6320
1400→1500,1400,1500,1867,89.884,#6319,#4453
1500→1600,1500,1600,1368,92.992,#4452,#3085
1600→1700,1600,1700,941,95.131,#3084,#2144
1700→1800,1700,1800,687,96.692,#2143,#1457
1800→1900,1800,1900,466,97.750,#1456,#991
1900→2000,1900,2000,320,98.478,#990,#671
2000→2100,2000,2100,214,98.964,#670,#457
2100→2200,2100,2200,143,99.289,#456,#314
2200→2300,2200,2300,124,99.571,#313,#190
2300→2400,2300,2400,63,99.714,#189,#127
2400→2500,2400,2500,53,99.834,#126,#74
2500→2600,2500,2600,28,99.898,#73,#46
2600→2700,2600,2700,22,99.948,#45,#24
2700→2800,2700,2800,13,99.977,#23,#11
2800→2900,2800,2900,10,100.000,#10,#1
