RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,155,0.378,#40968,#40814
0100→0200,100,200,233,0.947,#40813,#40581
0200→0300,200,300,471,2.097,#40580,#40110
0300→0400,300,400,839,4.145,#40109,#39271
0400→0500,400,500,1449,7.682,#39270,#37822
0500→0600,500,600,2341,13.396,#37821,#35481
0600→0700,600,700,3151,21.087,#35480,#32330
0700→0800,700,800,3835,30.448,#32329,#28495
0800→0900,800,900,4641,41.777,#28494,#23854
0900→1000,900,1000,4853,53.622,#23853,#19001
1000→1100,1000,1100,3569,62.334,#19000,#15432
1100→1200,1100,1200,2996,69.647,#15431,#12436
1200→1300,1200,1300,3509,78.212,#12435,#8927
1300→1400,1300,1400,2604,84.568,#8926,#6323
1400→1500,1400,1500,1858,89.104,#6322,#4465
1500→1600,1500,1600,1403,92.528,#4464,#3062
1600→1700,1600,1700,861,94.630,#3061,#2201
1700→1800,1700,1800,620,96.143,#2200,#1581
1800→1900,1800,1900,478,97.310,#1580,#1103
1900→2000,1900,2000,356,98.179,#1102,#747
2000→2100,2000,2100,255,98.802,#746,#492
2100→2200,2100,2200,166,99.207,#491,#326
2200→2300,2200,2300,94,99.436,#325,#232
2300→2400,2300,2400,82,99.636,#231,#150
2400→2500,2400,2500,56,99.773,#149,#94
2500→2600,2500,2600,39,99.868,#93,#55
2600→2700,2600,2700,20,99.917,#54,#35
2700→2800,2700,2800,21,99.968,#34,#14
2800→2900,2800,2900,8,99.988,#13,#6
2900→3000,2900,3000,3,99.995,#5,#3
3000→3100,3000,3100,2,100.000,#2,#1
