RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,145,0.317,#45722,#45578
0100→0200,100,200,223,0.805,#45577,#45355
0200→0300,200,300,456,1.802,#45354,#44899
0300→0400,300,400,863,3.690,#44898,#44036
0400→0500,400,500,1474,6.914,#44035,#42562
0500→0600,500,600,2259,11.854,#42561,#40303
0600→0700,600,700,3082,18.595,#40302,#37221
0700→0800,700,800,3833,26.978,#37220,#33388
0800→0900,800,900,4583,37.002,#33387,#28805
0900→1000,900,1000,5570,49.184,#28804,#23235
1000→1100,1000,1100,6103,62.532,#23234,#17132
1100→1200,1100,1200,4762,72.947,#17131,#12370
1200→1300,1200,1300,3505,80.613,#12369,#8865
1300→1400,1300,1400,2496,86.072,#8864,#6369
1400→1500,1400,1500,1863,90.147,#6368,#4506
1500→1600,1500,1600,1356,93.113,#4505,#3150
1600→1700,1600,1700,935,95.158,#3149,#2215
1700→1800,1700,1800,689,96.665,#2214,#1526
1800→1900,1800,1900,485,97.725,#1525,#1041
1900→2000,1900,2000,338,98.465,#1040,#703
2000→2100,2000,2100,236,98.981,#702,#467
2100→2200,2100,2200,153,99.315,#466,#314
2200→2300,2200,2300,104,99.543,#313,#210
2300→2400,2300,2400,73,99.703,#209,#137
2400→2500,2400,2500,53,99.818,#136,#84
2500→2600,2500,2600,34,99.893,#83,#50
2600→2700,2600,2700,19,99.934,#49,#31
2700→2800,2700,2800,18,99.974,#30,#13
2800→2900,2800,2900,8,99.991,#12,#5
2900→3000,2900,3000,4,100.000,#4,#1
