RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,131,0.449,#29161,#29031
0100→0200,100,200,198,1.128,#29030,#28833
0200→0300,200,300,429,2.599,#28832,#28404
0300→0400,300,400,860,5.549,#28403,#27544
0400→0500,400,500,1489,10.655,#27543,#26055
0500→0600,500,600,2449,19.053,#26054,#23606
0600→0700,600,700,3331,30.476,#23605,#20275
0700→0800,700,800,884,33.507,#20274,#19391
0800→0900,800,900,700,35.908,#19390,#18691
0900→1000,900,1000,2256,43.644,#18690,#16435
1000→1100,1000,1100,1939,50.293,#16434,#14496
1100→1200,1100,1200,4402,65.389,#14495,#10094
1200→1300,1200,1300,3022,75.752,#10093,#7072
1300→1400,1300,1400,1890,82.233,#7071,#5182
1400→1500,1400,1500,1499,87.374,#5181,#3683
1500→1600,1500,1600,1252,91.667,#3682,#2431
1600→1700,1600,1700,755,94.256,#2430,#1676
1700→1800,1700,1800,448,95.792,#1675,#1228
1800→1900,1800,1900,429,97.263,#1227,#799
1900→2000,1900,2000,311,98.330,#798,#488
2000→2100,2000,2100,182,98.954,#487,#306
2100→2200,2100,2200,130,99.400,#305,#176
2200→2300,2200,2300,76,99.661,#175,#100
2400→2500,2400,2500,29,99.760,#99,#71
2500→2600,2500,2600,32,99.870,#70,#39
2600→2700,2600,2700,19,99.935,#38,#20
2700→2800,2700,2800,10,99.969,#19,#10
2800→2900,2800,2900,6,99.990,#9,#4
2900→3000,2900,3000,3,100.000,#3,#1
