RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,128,0.306,#41890,#41763
0100→0200,100,200,196,0.773,#41762,#41567
0200→0300,200,300,414,1.762,#41566,#41153
0300→0400,300,400,829,3.741,#41152,#40324
0400→0500,400,500,723,5.467,#40323,#39601
0500→0600,500,600,1351,8.692,#39600,#38250
0600→0700,600,700,3052,15.978,#38249,#35198
0700→0800,700,800,3439,24.187,#35197,#31759
0800→0900,800,900,4544,35.035,#31758,#27215
0900→1000,900,1000,4276,45.242,#27214,#22939
1000→1100,1000,1100,5712,58.878,#22938,#17227
1100→1200,1100,1200,5079,71.003,#17226,#12148
1200→1300,1200,1300,3761,79.981,#12147,#8387
1300→1400,1300,1400,2678,86.374,#8386,#5709
1400→1500,1400,1500,1795,90.659,#5708,#3914
1500→1600,1500,1600,1251,93.645,#3913,#2663
1600→1700,1600,1700,862,95.703,#2662,#1801
1700→1800,1700,1800,317,96.460,#1800,#1484
1800→1900,1800,1900,474,97.591,#1483,#1010
1900→2000,1900,2000,329,98.377,#1009,#681
2000→2100,2000,2100,243,98.957,#680,#438
2100→2200,2100,2200,149,99.312,#437,#289
2200→2300,2200,2300,107,99.568,#288,#182
2300→2400,2300,2400,57,99.704,#181,#125
2400→2500,2400,2500,46,99.814,#124,#79
2500→2600,2500,2600,38,99.905,#78,#41
2600→2700,2600,2700,15,99.940,#40,#26
2700→2800,2700,2800,19,99.986,#25,#7
2800→2900,2800,2900,4,99.995,#6,#3
2900→3000,2900,3000,2,100.000,#2,#1
