RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,128,0.259,#49360,#49233
0100→0200,100,200,199,0.662,#49232,#49034
0200→0300,200,300,431,1.536,#49033,#48603
0300→0400,300,400,809,3.175,#48602,#47794
0400→0500,400,500,1465,6.143,#47793,#46329
0500→0600,500,600,2387,10.979,#46328,#43942
0600→0700,600,700,3311,17.686,#43941,#40631
0700→0800,700,800,4102,25.997,#40630,#36529
0800→0900,800,900,5003,36.132,#36528,#31526
0900→1000,900,1000,6164,48.620,#31525,#25362
1000→1100,1000,1100,6913,62.626,#25361,#18449
1100→1200,1100,1200,5159,73.077,#18448,#13290
1200→1300,1200,1300,3816,80.808,#13289,#9474
1300→1400,1300,1400,2704,86.286,#9473,#6770
1400→1500,1400,1500,2023,90.385,#6769,#4747
1500→1600,1500,1600,1472,93.367,#4746,#3275
1600→1700,1600,1700,1022,95.438,#3274,#2253
1700→1800,1700,1800,755,96.967,#2252,#1498
1800→1900,1800,1900,486,97.952,#1497,#1012
1900→2000,1900,2000,345,98.651,#1011,#667
2000→2100,2000,2100,240,99.137,#666,#427
2100→2200,2100,2200,148,99.437,#426,#279
2200→2300,2200,2300,97,99.633,#278,#182
2300→2400,2300,2400,54,99.743,#181,#128
2400→2500,2400,2500,51,99.846,#127,#77
2500→2600,2500,2600,36,99.919,#76,#41
2600→2700,2600,2700,16,99.951,#40,#25
2700→2800,2700,2800,19,99.990,#24,#6
2800→2900,2800,2900,3,99.996,#5,#3
2900→3000,2900,3000,2,100.000,#2,#1
