RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,129,0.263,#49089,#48961
0100→0200,100,200,189,0.648,#48960,#48772
0200→0300,200,300,434,1.532,#48771,#48338
0300→0400,300,400,813,3.188,#48337,#47525
0400→0500,400,500,1482,6.207,#47524,#46043
0500→0600,500,600,2399,11.094,#46042,#43644
0600→0700,600,700,3325,17.868,#43643,#40319
0700→0800,700,800,4071,26.161,#40318,#36248
0800→0900,800,900,4980,36.305,#36247,#31268
0900→1000,900,1000,6108,48.748,#31267,#25160
1000→1100,1000,1100,6771,62.542,#25159,#18389
1100→1200,1100,1200,5150,73.033,#18388,#13239
1200→1300,1200,1300,3800,80.774,#13238,#9439
1300→1400,1300,1400,2677,86.227,#9438,#6762
1400→1500,1400,1500,2019,90.340,#6761,#4743
1500→1600,1500,1600,1465,93.324,#4742,#3278
1600→1700,1600,1700,1014,95.390,#3277,#2264
1700→1800,1700,1800,773,96.965,#2263,#1491
1800→1900,1800,1900,488,97.959,#1490,#1003
1900→2000,1900,2000,332,98.635,#1002,#671
2000→2100,2000,2100,238,99.120,#670,#433
2100→2200,2100,2200,144,99.413,#432,#289
2200→2300,2200,2300,105,99.627,#288,#184
2300→2400,2300,2400,57,99.743,#183,#127
2400→2500,2400,2500,49,99.843,#126,#78
2500→2600,2500,2600,36,99.916,#77,#42
2600→2700,2600,2700,16,99.949,#41,#26
2700→2800,2700,2800,19,99.988,#25,#7
2800→2900,2800,2900,4,99.996,#6,#3
2900→3000,2900,3000,2,100.000,#2,#1
