RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,121,0.253,#47769,#47649
0100→0200,100,200,185,0.641,#47648,#47464
0200→0300,200,300,412,1.503,#47463,#47052
0300→0400,300,400,845,3.272,#47051,#46207
0400→0500,400,500,1464,6.337,#46206,#44743
0500→0600,500,600,2493,11.556,#44742,#42250
0600→0700,600,700,3232,18.322,#42249,#39018
0700→0800,700,800,4071,26.844,#39017,#34947
0800→0900,800,900,4912,37.127,#34946,#30035
0900→1000,900,1000,5979,49.643,#30034,#24056
1000→1100,1000,1100,6661,63.587,#24055,#17395
1100→1200,1100,1200,4909,73.864,#17394,#12486
1200→1300,1200,1300,3563,81.323,#12485,#8923
1300→1400,1300,1400,2607,86.780,#8922,#6316
1400→1500,1400,1500,1918,90.795,#6315,#4398
1500→1600,1500,1600,1336,93.592,#4397,#3062
1600→1700,1600,1700,982,95.648,#3061,#2080
1700→1800,1700,1800,684,97.080,#2079,#1396
1800→1900,1800,1900,492,98.110,#1395,#904
1900→2000,1900,2000,309,98.757,#903,#595
2000→2100,2000,2100,199,99.173,#594,#396
2100→2200,2100,2200,135,99.456,#395,#261
2200→2300,2200,2300,95,99.655,#260,#166
2300→2400,2300,2400,54,99.768,#165,#112
2400→2500,2400,2500,47,99.866,#111,#65
2500→2600,2500,2600,24,99.916,#64,#41
2600→2700,2600,2700,23,99.964,#40,#18
2700→2800,2700,2800,12,99.990,#17,#6
2800→2900,2800,2900,3,99.996,#5,#3
2900→3000,2900,3000,2,100.000,#2,#1
