RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,127,0.304,#41723,#41597
0100→0200,100,200,185,0.748,#41596,#41412
0200→0300,200,300,444,1.812,#41411,#40968
0300→0400,300,400,825,3.789,#40967,#40143
0400→0500,400,500,1455,7.277,#40142,#38688
0500→0600,500,600,2498,13.264,#38687,#36190
0600→0700,600,700,3331,21.247,#36189,#32859
0700→0800,700,800,4211,31.340,#32858,#28648
0800→0900,800,900,4247,41.519,#28647,#24401
0900→1000,900,1000,408,42.497,#24400,#23993
1000→1100,1000,1100,6357,57.733,#23992,#17636
1100→1200,1100,1200,4983,69.676,#17635,#12653
1200→1300,1200,1300,3660,78.448,#12652,#8993
1300→1400,1300,1400,2554,84.570,#8992,#6439
1400→1500,1400,1500,1916,89.162,#6438,#4523
1500→1600,1500,1600,1401,92.520,#4522,#3122
1600→1700,1600,1700,985,94.881,#3121,#2137
1700→1800,1700,1800,716,96.597,#2136,#1421
1800→1900,1800,1900,478,97.742,#1420,#943
1900→2000,1900,2000,322,98.514,#942,#621
2000→2100,2000,2100,221,99.044,#620,#400
2100→2200,2100,2200,130,99.355,#399,#270
2200→2300,2200,2300,91,99.573,#269,#179
2300→2400,2300,2400,63,99.724,#178,#116
2400→2500,2400,2500,46,99.835,#115,#70
2500→2600,2500,2600,30,99.907,#69,#40
2600→2700,2600,2700,19,99.952,#39,#21
2700→2800,2700,2800,13,99.983,#20,#8
2800→2900,2800,2900,4,99.993,#7,#4
2900→3000,2900,3000,3,100.000,#3,#1
