RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,131,0.287,#45677,#45547
0100→0200,100,200,168,0.655,#45546,#45379
0200→0300,200,300,398,1.526,#45378,#44981
0300→0400,300,400,739,3.144,#44980,#44242
0400→0500,400,500,1447,6.312,#44241,#42795
0500→0600,500,600,2322,11.395,#42794,#40473
0600→0700,600,700,3169,18.333,#40472,#37304
0700→0800,700,800,3882,26.832,#37303,#33422
0800→0900,800,900,4752,37.235,#33421,#28670
0900→1000,900,1000,5084,48.366,#28669,#23586
1000→1100,1000,1100,6273,62.099,#23585,#17313
1100→1200,1100,1200,4868,72.757,#17312,#12445
1200→1300,1200,1300,3535,80.496,#12444,#8910
1300→1400,1300,1400,2554,86.087,#8909,#6356
1400→1500,1400,1500,1895,90.236,#6355,#4461
1500→1600,1500,1600,1440,93.388,#4460,#3021
1600→1700,1600,1700,978,95.529,#3020,#2043
1700→1800,1700,1800,713,97.090,#2042,#1330
1800→1900,1800,1900,450,98.076,#1329,#880
1900→2000,1900,2000,314,98.763,#879,#566
2000→2100,2000,2100,199,99.199,#565,#367
2100→2200,2100,2200,119,99.459,#366,#248
2200→2300,2200,2300,96,99.669,#247,#152
2300→2400,2300,2400,50,99.779,#151,#102
2400→2500,2400,2500,40,99.866,#101,#62
2500→2600,2500,2600,24,99.919,#61,#38
2600→2700,2600,2700,26,99.976,#37,#12
2700→2800,2700,2800,8,99.993,#11,#4
2800→2900,2800,2900,1,99.996,#3,#3
2900→3000,2900,3000,2,100.000,#2,#1
