RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,144,0.315,#45668,#45525
0100→0200,100,200,223,0.804,#45524,#45302
0200→0300,200,300,474,1.842,#45301,#44828
0300→0400,300,400,865,3.736,#44827,#43963
0400→0500,400,500,1444,6.898,#43962,#42519
0500→0600,500,600,2324,11.987,#42518,#40195
0600→0700,600,700,3115,18.807,#40194,#37080
0700→0800,700,800,3821,27.174,#37079,#33259
0800→0900,800,900,4594,37.234,#33258,#28665
0900→1000,900,1000,5570,49.431,#28664,#23095
1000→1100,1000,1100,6046,62.670,#23094,#17049
1100→1200,1100,1200,4761,73.095,#17048,#12288
1200→1300,1200,1300,3519,80.801,#12287,#8769
1300→1400,1300,1400,2539,86.360,#8768,#6230
1400→1500,1400,1500,1856,90.424,#6229,#4374
1500→1600,1500,1600,1178,93.004,#4373,#3196
1600→1700,1600,1700,957,95.099,#3195,#2239
1700→1800,1700,1800,685,96.599,#2238,#1554
1800→1900,1800,1900,484,97.659,#1553,#1070
1900→2000,1900,2000,360,98.447,#1069,#710
2000→2100,2000,2100,228,98.947,#709,#482
2100→2200,2100,2200,172,99.323,#481,#310
2200→2300,2200,2300,94,99.529,#309,#216
2300→2400,2300,2400,84,99.713,#215,#132
2400→2500,2400,2500,46,99.814,#131,#86
2500→2600,2500,2600,37,99.895,#85,#49
2600→2700,2600,2700,23,99.945,#48,#26
2700→2800,2700,2800,14,99.976,#25,#12
2800→2900,2800,2900,5,99.987,#11,#7
2900→3000,2900,3000,6,100.000,#6,#1
