RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,123,0.266,#46198,#46076
0100→0200,100,200,193,0.684,#46075,#45883
0200→0300,200,300,398,1.546,#45882,#45485
0300→0400,300,400,743,3.154,#45484,#44742
0400→0500,400,500,1429,6.247,#44741,#43313
0500→0600,500,600,2301,11.228,#43312,#41012
0600→0700,600,700,3128,17.999,#41011,#37884
0700→0800,700,800,3892,26.423,#37883,#33992
0800→0900,800,900,4732,36.666,#33991,#29260
0900→1000,900,1000,5737,49.084,#29259,#23523
1000→1100,1000,1100,6261,62.637,#23522,#17262
1100→1200,1100,1200,4823,73.077,#17261,#12439
1200→1300,1200,1300,3556,80.774,#12438,#8883
1300→1400,1300,1400,2557,86.309,#8882,#6326
1400→1500,1400,1500,1907,90.437,#6325,#4419
1500→1600,1500,1600,1424,93.519,#4418,#2995
1600→1700,1600,1700,969,95.617,#2994,#2026
1700→1800,1700,1800,687,97.104,#2025,#1339
1800→1900,1800,1900,461,98.102,#1338,#878
1900→2000,1900,2000,310,98.773,#877,#568
2000→2100,2000,2100,204,99.214,#567,#364
2100→2200,2100,2200,118,99.470,#363,#246
2200→2300,2200,2300,95,99.675,#245,#151
2300→2400,2300,2400,51,99.786,#150,#100
2400→2500,2400,2500,41,99.874,#99,#59
2500→2600,2500,2600,25,99.929,#58,#34
2600→2700,2600,2700,20,99.972,#33,#14
2700→2800,2700,2800,11,99.996,#13,#3
2900→3000,2900,3000,2,100.000,#2,#1
