RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,150,0.332,#45226,#45077
0100→0200,100,200,222,0.823,#45076,#44855
0200→0300,200,300,479,1.882,#44854,#44376
0300→0400,300,400,851,3.763,#44375,#43525
0400→0500,400,500,1481,7.038,#43524,#42044
0500→0600,500,600,2302,12.128,#42043,#39742
0600→0700,600,700,3145,19.082,#39741,#36597
0700→0800,700,800,3826,27.542,#36596,#32771
0800→0900,800,900,4661,37.848,#32770,#28110
0900→1000,900,1000,4766,48.386,#28109,#23344
1000→1100,1000,1100,6023,61.703,#23343,#17321
1100→1200,1100,1200,4812,72.343,#17320,#12509
1200→1300,1200,1300,3508,80.100,#12508,#9001
1300→1400,1300,1400,2536,85.707,#9000,#6465
1400→1500,1400,1500,1859,89.818,#6464,#4606
1500→1600,1500,1600,1397,92.907,#4605,#3209
1600→1700,1600,1700,958,95.025,#3208,#2251
1700→1800,1700,1800,686,96.542,#2250,#1565
1800→1900,1800,1900,507,97.663,#1564,#1058
1900→2000,1900,2000,332,98.397,#1057,#726
2000→2100,2000,2100,242,98.932,#725,#484
2100→2200,2100,2200,160,99.286,#483,#324
2200→2300,2200,2300,98,99.502,#323,#226
2300→2400,2300,2400,87,99.695,#225,#139
2400→2500,2400,2500,48,99.801,#138,#91
2500→2600,2500,2600,41,99.892,#90,#50
2600→2700,2600,2700,20,99.936,#49,#30
2700→2800,2700,2800,18,99.976,#29,#12
2800→2900,2800,2900,7,99.991,#11,#5
2900→3000,2900,3000,4,100.000,#4,#1
