RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,127,0.264,#48049,#47923
0100→0200,100,200,185,0.649,#47922,#47738
0200→0300,200,300,442,1.569,#47737,#47296
0300→0400,300,400,821,3.278,#47295,#46475
0400→0500,400,500,1463,6.323,#46474,#45012
0500→0600,500,600,2480,11.484,#45011,#42532
0600→0700,600,700,3273,18.296,#42531,#39259
0700→0800,700,800,4130,26.891,#39258,#35129
0800→0900,800,900,4912,37.114,#35128,#30217
0900→1000,900,1000,5962,49.522,#30216,#24255
1000→1100,1000,1100,6647,63.356,#24254,#17608
1100→1200,1100,1200,5002,73.766,#17607,#12606
1200→1300,1200,1300,3596,81.250,#12605,#9010
1300→1400,1300,1400,2570,86.599,#9009,#6440
1400→1500,1400,1500,1926,90.608,#6439,#4514
1500→1600,1500,1600,1411,93.544,#4513,#3103
1600→1700,1600,1700,968,95.559,#3102,#2135
1700→1800,1700,1800,695,97.005,#2134,#1440
1800→1900,1800,1900,509,98.064,#1439,#931
1900→2000,1900,2000,307,98.703,#930,#624
2000→2100,2000,2100,228,99.178,#623,#396
2100→2200,2100,2200,121,99.430,#395,#275
2200→2300,2200,2300,104,99.646,#274,#171
2300→2400,2300,2400,59,99.769,#170,#112
2400→2500,2400,2500,41,99.854,#111,#71
2500→2600,2500,2600,31,99.919,#70,#40
2600→2700,2600,2700,18,99.956,#39,#22
2700→2800,2700,2800,14,99.985,#21,#8
2800→2900,2800,2900,5,99.996,#7,#3
2900→3000,2900,3000,2,100.000,#2,#1
