RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,150,0.329,#45586,#45437
0100→0200,100,200,229,0.831,#45436,#45208
0200→0300,200,300,488,1.902,#45207,#44720
0300→0400,300,400,847,3.760,#44719,#43873
0400→0500,400,500,1477,7.000,#43872,#42396
0500→0600,500,600,2294,12.032,#42395,#40102
0600→0700,600,700,3165,18.975,#40101,#36937
0700→0800,700,800,3736,27.171,#36936,#33201
0800→0900,800,900,4319,36.645,#33200,#28882
0900→1000,900,1000,5550,48.820,#28881,#23332
1000→1100,1000,1100,6040,62.069,#23331,#17292
1100→1200,1100,1200,4788,72.573,#17291,#12504
1200→1300,1200,1300,3527,80.310,#12503,#8977
1300→1400,1300,1400,2542,85.886,#8976,#6435
1400→1500,1400,1500,1848,89.940,#6434,#4587
1500→1600,1500,1600,1396,93.002,#4586,#3191
1600→1700,1600,1700,954,95.095,#3190,#2237
1700→1800,1700,1800,676,96.578,#2236,#1561
1800→1900,1800,1900,499,97.673,#1560,#1062
1900→2000,1900,2000,347,98.434,#1061,#715
2000→2100,2000,2100,232,98.943,#714,#483
2100→2200,2100,2200,168,99.311,#482,#315
2200→2300,2200,2300,94,99.517,#314,#221
2300→2400,2300,2400,83,99.699,#220,#138
2400→2500,2400,2500,47,99.803,#137,#91
2500→2600,2500,2600,40,99.890,#90,#51
2600→2700,2600,2700,21,99.936,#50,#30
2700→2800,2700,2800,19,99.978,#29,#11
2800→2900,2800,2900,6,99.991,#10,#5
2900→3000,2900,3000,4,100.000,#4,#1
