RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,127,0.254,#49969,#49843
0100→0200,100,200,204,0.662,#49842,#49639
0200→0300,200,300,431,1.525,#49638,#49208
0300→0400,300,400,832,3.190,#49207,#48376
0400→0500,400,500,1485,6.162,#48375,#46891
0500→0600,500,600,2438,11.041,#46890,#44453
0600→0700,600,700,3359,17.763,#44452,#41094
0700→0800,700,800,4162,26.092,#41093,#36932
0800→0900,800,900,5083,36.264,#36931,#31849
0900→1000,900,1000,6222,48.716,#31848,#25627
1000→1100,1000,1100,6998,62.721,#25626,#18629
1100→1200,1100,1200,5262,73.251,#18628,#13367
1200→1300,1200,1300,3829,80.914,#13366,#9538
1300→1400,1300,1400,2729,86.376,#9537,#6809
1400→1500,1400,1500,2045,90.468,#6808,#4764
1500→1600,1500,1600,1495,93.460,#4763,#3269
1600→1700,1600,1700,1020,95.501,#3268,#2249
1700→1800,1700,1800,773,97.048,#2248,#1476
1800→1900,1800,1900,471,97.991,#1475,#1005
1900→2000,1900,2000,342,98.675,#1004,#663
2000→2100,2000,2100,248,99.171,#662,#415
2100→2200,2100,2200,136,99.444,#414,#279
2200→2300,2200,2300,102,99.648,#278,#177
2300→2400,2300,2400,52,99.752,#176,#125
2400→2500,2400,2500,47,99.846,#124,#78
2500→2600,2500,2600,38,99.922,#77,#40
2600→2700,2600,2700,18,99.958,#39,#22
2700→2800,2700,2800,16,99.990,#21,#6
2800→2900,2800,2900,5,100.000,#5,#1
