RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,115,0.381,#30175,#30061
0100→0200,100,200,193,1.021,#30060,#29868
0200→0300,200,300,452,2.519,#29867,#29416
0300→0400,300,400,852,5.342,#29415,#28564
0400→0500,400,500,1486,10.267,#28563,#27078
0500→0600,500,600,2431,18.323,#27077,#24647
0600→0700,600,700,3373,29.501,#24646,#21274
0700→0800,700,800,1383,34.085,#21273,#19891
0800→0900,800,900,800,36.736,#19890,#19091
0900→1000,900,1000,1200,40.713,#19090,#17891
1000→1100,1000,1100,1942,47.148,#17890,#15949
1100→1200,1100,1200,4623,62.469,#15948,#11326
1200→1300,1200,1300,3561,74.270,#11325,#7765
1300→1400,1300,1400,2164,81.442,#7764,#5601
1400→1500,1400,1500,1555,86.595,#5600,#4046
1500→1600,1500,1600,1019,89.972,#4045,#3027
1600→1700,1600,1700,851,92.792,#3026,#2176
1700→1800,1700,1800,745,95.261,#2175,#1431
1800→1900,1800,1900,482,96.858,#1430,#949
1900→2000,1900,2000,339,97.982,#948,#610
2000→2100,2000,2100,241,98.780,#609,#369
2100→2200,2100,2200,140,99.244,#368,#229
2200→2300,2200,2300,78,99.503,#228,#151
2300→2400,2300,2400,28,99.596,#150,#123
2400→2500,2400,2500,46,99.748,#122,#77
2500→2600,2500,2600,37,99.871,#76,#40
2600→2700,2600,2700,18,99.930,#39,#22
2700→2800,2700,2800,16,99.983,#21,#6
2800→2900,2800,2900,3,99.993,#5,#3
2900→3000,2900,3000,2,100.000,#2,#1
